Altcoin,Label,Price,Mkt_Cap_BTC,Mkt_Cap_USD,Trdg_Vol_Day,Trdg_Vol_Week,Trdg_Vol_Month,Inflation_in_BTC_Day,Inflation_in_USD_Day,Inflation_in_BTC_Week,Inflation_in_USD_Week,Inflation_in_BTC_Month,Inflation_in_USD_Month,,,,,,,,
,,,,,Day,Week,Month,Day,"Day, $",Week,"Week, $",Month,"Month, $",3-Month,"3-Month, $",6-Month,"6-Month, $",Year,"Year, $","1-Month
inflation,%",Launch
NEM,XEM,0.00010327,929430,12790713421,17772301,375845985,2080041135,+9.23%,+10.12%,-15.96%,-23.58%,+299.96%,+184.48%,+74.56%,+326.91%,+34.15%,+695.56%,+2252.39%,+36180.8%,0,2014
42-coin,42,4.20000002,176,2427597,7469,70382,200936,+9.19%,+10.07%,+18.84%,+8.06%,+118.75%,+55.59%,+121.26%,+441.12%,+7.95%,+540.18%,+3401.03%,+53896.13%,0,2014
Bitcoin Cash,BCH,0.17826022,3743465,51517148319,60539835,425398229,4555922194,+3.54%,+4.38%,+10.5%,+0.47%,+89.34%,+34.67%,+44.34%,+253%,+9.7%,+550.54%,+9.7%,+1591.87%,0.31,2017
EthereumClassic,ETC,0.003105,558900,7691520321,121504801,534445208,1911695154,-2.02%,-1.22%,+39.22%,+26.59%,+74.89%,+24.4%,+47.04%,+259.6%,-58.29%,+147.33%,+95.65%,+2917.44%,0.71,2016
Ethereum,ETH,0.096121,9612100,132280662869,205247911,2155738711,8009773146,-2.51%,-1.72%,+18.11%,+7.39%,+160.98%,+85.63%,+58.82%,+288.42%,+9.22%,+547.68%,+724.35%,+12613.9%,0.62,2014
Litecoin,LTC,0.01727005,1303889,17943973894,57966273,496043580,3974752600,-2.83%,-2.04%,+3.11%,-6.25%,+6.08%,-24.55%,+52.83%,+273.77%,-9.49%,+436.74%,+291.87%,+5943.78%,0.77,2011
Dash,DASH,0.07197,1583340,21789750913,15690628,139509172,1113514281,-6.34%,-5.59%,-1.92%,-10.82%,+47.83%,+5.15%,-15.14%,+107.53%,+33.44%,+691.35%,+533.18%,+9665.43%,0.79,2014
DigiByte,DGB,6.65E-06,139650,1921847939,17121628,443041056,2164784310,-7.25%,-6.50%,+24.07%,+12.81%,+607.45%,+403.19%,+86.27%,+355.55%,-48.65%,+204.53%,+2045.16%,+32984.7%,1.44,2014
Ark,ARK,0.000575,74182,1020885363,3391212,73589859,314765962,-11.27%,-10.55%,+20.21%,+9.31%,+133.9%,+66.37%,-40.22%,+46.21%,+67.75%,+894.78%,+629.79%,+11155.48%,0,2017
Neo,NEO,0.0117801,1178010,16211644039,52297823,276446853,1577024990,+39.89%,+41.02%,+73.19%,+57.48%,+369.15%,+233.7%,+119.25%,+436.19%,+30.48%,+673.76%,+30.48%,+1912.32%,0,2017
Synereo,AMP,6.6E-05,12197,167851020,429048,6616836,49967081,-3.42%,-2.64%,-0.75%,-9.75%,+253.32%,+151.31%,+170.16%,+560.7%,-15.68%,+400.06%,+54.21%,+2278.3%,0,2015
Steem,STEEM,0.000414,1656000,22789689840,2941403,34623992,198599639,-1.24%,-0.44%,+0.97%,-8.19%,+252.04%,+150.4%,+124.99%,+450.23%,-17.86%,+387.13%,+144.75%,+3674.81%,0.18,2016
Expanse,EXP,0.000552,17112,235493462,1383442,20190083,122135550,+0.51%,+1.32%,+9.94%,-0.03%,+288.81%,+176.56%,+83.02%,+347.59%,-14.27%,+408.43%,+153.07%,+3803.11%,0,2015
